Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://www.vodafone.com.au/,10,23653,19860,34238,4812.19,10.00%,0.28705,971.57,4.38,3465904.2
HomePageLauch,10,23653,19860,34238,4812.19,10.00%,0.28702,971.46,4.38,3465904.2
https://www.vodafone.com.au/about,10,1280,845,2159,390.2,0.00%,0.19407,159.2,1.4,840027.6
AboutVodafone,10,1280,845,2159,390.2,0.00%,0.08523,69.91,0.61,840027.6
https://www.vodafone.com.au/hot-offers,10,4269,2016,9428,2729.02,0.00%,0.09529,285.8,1.1,3071393.2
https://www.vodafone.com.au/rest/currentservertime,10,301,72,944,272.44,0.00%,0.09724,0.05,0.02,495
HotOffers,10,4570,2088,10086,2952.95,0.00%,0.08298,248.94,0.98,3071888.2
https://www.vodafone.com.au/plans,10,1186,934,1944,291.83,0.00%,0.05538,39.32,0.52,726918.3
https://www.vodafone.com.au/api/mobile_plans_full_fr.json,10,636,483,881,149.02,0.00%,0.05557,43.66,0.01,804531
https://www.vodafone.com.au/api/mobile_plans_fr.json,10,266,186,561,112.64,0.00%,0.05568,15.19,0.01,279433
https://www.vodafone.com.au/crowd/config/dcp1851mobile.json,29,93,28,307,89.3,0.00%,0.06667,0.99,0.02,15199.1
https://www.vodafone.com.au/crowd/config/dcp1851mbb.json,29,52,27,150,30.62,0.00%,0.06668,1.05,0.02,16166
https://www.vodafone.com.au/crowd/config/dcp1851tablet.json,29,46,27,108,22.22,0.00%,0.06669,0.26,0.02,3970.1
https://www.vodafone.com.au/crowd/config/dcp1851nbn.json,29,48,27,206,35.62,0.00%,0.06669,0.2,0.02,3085.3
https://www.vodafone.com.au/vcalightbox/bundleandsave,10,73,31,312,82.57,0.00%,0.05586,0.26,0.01,4792
PhonePlans,10,2487,1879,3794,597.01,0.00%,0.04722,88.68,0.53,1923271
https://www.vodafone.com.au/prepaid/plans,10,2321,1377,6903,1568.2,0.00%,0.05167,91.47,0.45,1812658.4
https://www.vodafone.com.au/sites/REST/resources/v1/aggregates/VCA/Box/1448511766059?assetDepth=3,10,151,103,247,51.69,0.00%,0.05202,5.79,0.02,114050.4
PrepaidPlans,10,2692,1668,7376,1637.25,0.00%,0.0467,87.97,0.49,1928720.8
https://www.vodafone.com.au/plans/bundle,9,1123,766,1821,323.87,0.00%,0.04218,13.68,0.32,332093.7
BundleNews,9,1295,889,1942,332.77,0.00%,0.02181,7.12,0.2,334105.7
https://www.vodafone.com.au/support,9,1346,997,2620,461.55,0.00%,0.04069,55.02,0.2,1384655.8
SupportServices,9,1346,997,2620,461.55,0.00%,0.03679,49.75,0.18,1384655.8
https://www.vodafone.com.au/my-vodafone,16,545,29,1908,565.4,0.00%,0.08384,19.73,0.43,240933.2
LoginPortal,8,1090,749,1943,399.06,0.00%,0.04064,19.12,0.41,481866.5
https://myaccount.myvodafone.com.au/,15,227,83,511,143.01,0.00%,0.07456,1.35,0.13,18583.2
https://www.vodafone.com.au/rest/Navigation,23,194,134,413,88.48,0.00%,0.11449,4.76,0.03,42614
https://myaccount.myvodafone.com.au/dashboard.json,16,99,27,204,51.24,0.00%,0.07967,2.88,0.02,36987
https://www.myvodafone.com.au/logout?redirect_url=https://www.myvodafone.com.au,35,190,83,1307,210.71,0.00%,0.17402,0.27,0.14,1596.1
ClickOnLoginNow,8,1500,1083,2507,432.88,0.00%,0.03752,5.88,0.26,160583
https://auth.myvodafone.com.au/oam/server/auth_cred_submit,5,1756,1307,2442,438.16,0.00%,0.03881,53.7,0.36,1416905.4
https://www.myvodafone.com.au/obrar.cgi?encreply=t1nYAfsHQVRwzByJD9b333RtC3OrZ2AecLTkH7t2ic6cXgE61glxiLzhnSlYxkPBOtjhuRUy4K/J1177ECYlHDtmrAW1cUrPMhMWeUxzbKw+8Xe48nEWirY11ZlNXwjl7pkEnSr8BGwqc9JuycVWx4HyHUym23NBITGODVQWc9aopQKjNErwmduSRoRxktHbyMwruW7RYKewIX0dpRTjkyumohiWTDn9B6e2+Q2aGcQJzP/T8zKpcM7xVC4ahhjEgIscPc4RExQSWofG/OonJ1OrFGh7s5U5L798i1z8fkkuhIGwoijXNJkAd+AHUdTeIExlAYjTbLt7cnnq6GEEKqAZ5FOUPurLfwZo9sgNcP7vAhRNLRul9jUWmkDsqnNo6/Tck+kHrdw/Sj6SQMKJA2oqkHg01cybQCShqfBkV/75CoBSoW1ilIUU/4Vt6vorIGueByM2VGWrbeU9G3Z2ajUVXRrkfnvptWpmeFQg+ULcGcnAoqLmfGFyLNI8zGIb2hAcdkKwAM3svY2NwV5fGjycnASvRno+VMvdRq+/qWRfDWWHTVDzjTRHimGd4xSl7DGQ8Pp6pRpFfwA6o5uIGfAL0z31a0jU6S+U2ijlJD9XzM55rapmTaGBDX8XKQ1Qi8cZawrDak/337PJIrxjR6g3CH7LUzvNl+IFmcK+M1Jmi4Jt50ISU6TXymcsjQ6895mHbSqOHGGGKjemOptcBgstMi7sligTtYFj3+x2g5OO2VODBSf+hiKatR4+EMRW2xWEbCS3FY/BskHY0LjQmlojfoU24EDF3qpD0lbvLygcyeZ6MoraGwVGyAWdIwXNKouQYI8uhNGJPNPdIEIeSiOdGbnlnKsYXFL62lVnOiVY00bSLftZC3AXag7qFGeDQGaKeOgrsJzjJdda2bGOQsah0Tn/7Qmu5dO+MTC+ZJcJGXzsHDwMzEdiDeSm/ft2xUNkelVF2Si2d9iaWC+jhfxXG//U53ry48FB6RTyczAQXdR4x7M3vaggedrJdY0BMkDXXWnwVRxU7b01OwzlTeLqJ900Y05EHAqbcmxFanoPvh8fWVj98t73zljo6fjok+ClZwKUKtT9+UyXk4+xWduk00T8TKdkGf7JCdUvqCC4ALK8qdkdb2lMAJS4JTrw9KNMNl8iBbL+fB6WvcfV2Eht0Y1tGwa8VCHEDWCz6ENA/kPVOq0mTzgkSxDaC+abmZarz8YNndtgfF1YPomVQ6vZ32BZ2g6Mkt843/WhgbybGYVPAGYzwGdSZNYKKrWU&cksum=c92b65db65003464f2f2c8a46b102de5fc930c9b,5,1381,910,1711,277.72,0.00%,0.03913,4.47,0.61,116924.8
ClickOnLoginButton,5,3553,2475,4269,669.76,0.00%,0.02951,45.44,0.75,1577137.8
https://myaccount.myvodafone.com.au/usage,4,363,280,595,133.72,0.00%,0.03806,0.38,0.07,10340
https://myaccount.myvodafone.com.au/history.json,7,68,40,196,52.45,0.00%,0.06713,0.75,0.02,11449.1
UsageHistory,4,664,466,1204,312.16,0.00%,0.02851,2.02,0.07,72470
https://myaccount.myvodafone.com.au/purchase,3,345,283,463,83.47,0.00%,0.08954,0.9,0.17,10340
PurchaseHistory,3,616,506,705,82.67,0.00%,0.05312,2.78,0.13,53647
https://myaccount.myvodafone.com.au/signout,3,313,279,354,30.94,0.00%,0.10626,1.07,0.18,10340
LogOut,3,779,735,832,40.04,0.00%,0.0382,2.06,0.12,55350
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/,5,350,84,879,286.67,0.00%,0.03469,0.71,0.06,20938.4
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/purchase,7,334,277,384,31.6,0.00%,0.03053,0.31,0.06,10340.1
Vodafone_10UserGroup:https://www.vodafone.com.au/rest/Navigation,27,176,130,390,67.48,0.00%,0.10168,4.23,0.03,42614.8
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/history.json,13,38,28,48,7.13,0.00%,0.05681,0.52,0.02,9380.5
Vodafone_10UserGroup:PurchaseHistory,7,580,501,737,85.96,0.00%,0.02765,1.45,0.07,53649.1
Vodafone_10UserGroup:https://auth.myvodafone.com.au/oam/server/auth_cred_submit,5,1571,1214,2449,458.67,0.00%,0.02442,33.78,0.23,1416882.4
Vodafone_10UserGroup:https://www.myvodafone.com.au/obrar.cgi?encreply=t1nYAfsHQVRwzByJD9b333RtC3OrZ2AecLTkH7t2ic6cXgE61glxiLzhnSlYxkPBOtjhuRUy4K/J1177ECYlHDtmrAW1cUrPMhMWeUxzbKw+8Xe48nEWirY11ZlNXwjl7pkEnSr8BGwqc9JuycVWx4HyHUym23NBITGODVQWc9aopQKjNErwmduSRoRxktHbyMwruW7RYKewIX0dpRTjkyumohiWTDn9B6e2+Q2aGcQJzP/T8zKpcM7xVC4ahhjEgIscPc4RExQSWofG/OonJ1OrFGh7s5U5L798i1z8fkkuhIGwoijXNJkAd+AHUdTeIExlAYjTbLt7cnnq6GEEKqAZ5FOUPurLfwZo9sgNcP7vAhRNLRul9jUWmkDsqnNo6/Tck+kHrdw/Sj6SQMKJA2oqkHg01cybQCShqfBkV/75CoBSoW1ilIUU/4Vt6vorIGueByM2VGWrbeU9G3Z2ajUVXRrkfnvptWpmeFQg+ULcGcnAoqLmfGFyLNI8zGIb2hAcdkKwAM3svY2NwV5fGjycnASvRno+VMvdRq+/qWRfDWWHTVDzjTRHimGd4xSl7DGQ8Pp6pRpFfwA6o5uIGfAL0z31a0jU6S+U2ijlJD9XzM55rapmTaGBDX8XKQ1Qi8cZawrDak/337PJIrxjR6g3CH7LUzvNl+IFmcK+M1Jmi4Jt50ISU6TXymcsjQ6895mHbSqOHGGGKjemOptcBgstMi7sligTtYFj3+x2g5OO2VODBSf+hiKatR4+EMRW2xWEbCS3FY/BskHY0LjQmlojfoU24EDF3qpD0lbvLygcyeZ6MoraGwVGyAWdIwXNKouQYI8uhNGJPNPdIEIeSiOdGbnlnKsYXFL62lVnOiVY00bSLftZC3AXag7qFGeDQGaKeOgrsJzjJdda2bGOQsah0Tn/7Qmu5dO+MTC+ZJcJGXzsHDwMzEdiDeSm/ft2xUNkelVF2Si2d9iaWC+jhfxXG//U53ry48FB6RTyczAQXdR4x7M3vaggedrJdY0BMkDXXWnwVRxU7b01OwzlTeLqJ900Y05EHAqbcmxFanoPvh8fWVj98t73zljo6fjok+ClZwKUKtT9+UyXk4+xWduk00T8TKdkGf7JCdUvqCC4ALK8qdkdb2lMAJS4JTrw9KNMNl8iBbL+fB6WvcfV2Eht0Y1tGwa8VCHEDWCz6ENA/kPVOq0mTzgkSxDaC+abmZarz8YNndtgfF1YPomVQ6vZ32BZ2g6Mkt843/WhgbybGYVPAGYzwGdSZNYKKrWU&cksum=c92b65db65003464f2f2c8a46b102de5fc930c9b,5,1338,1087,1663,256.34,0.00%,0.02438,2.78,0.38,116925
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/dashboard.json,14,70,27,127,40.09,0.00%,0.05368,0.58,0.02,11062.7
Vodafone_10UserGroup:ClickOnLoginButton,5,3194,2671,4397,629.64,0.00%,0.02041,31.44,0.52,1577113.4
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/usage,6,439,307,865,194.34,0.00%,0.02883,0.29,0.05,10340.3
Vodafone_10UserGroup:UsageHistory,6,671,485,1085,224.89,0.00%,0.02371,1.68,0.06,72471.3
Vodafone_10UserGroup:https://www.vodafone.com.au/my-vodafone,4,543,29,1379,561.94,0.00%,0.03868,9.1,0.2,240929.8
Vodafone_10UserGroup:LoginPortal,2,1086,764,1409,322.5,0.00%,0.01656,7.79,0.17,481859.5
Vodafone_10UserGroup:https://www.myvodafone.com.au/logout?redirect_url=https://www.myvodafone.com.au,15,219,85,479,110.42,0.00%,0.06233,0.1,0.05,1641.1
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/signout,7,361,308,448,53.14,0.00%,0.02904,0.29,0.05,10340.1
Vodafone_10UserGroup:LogOut,7,847,745,1094,109.01,0.00%,0.02639,1.43,0.09,55352.1
Vodafone_10UserGroup:ClickOnLoginNow,2,1247,1193,1302,54.5,0.00%,0.01591,2.5,0.11,160582
Vodafone_10UserGroup:https://www.vodafone.com.au/plans/bundle,1,956,956,956,0,0.00%,1.04603,339.25,7.9,332111
Vodafone_10UserGroup:https://www.vodafone.com.au/crowd/config/dcp1851mobile.json,1,28,28,28,0,0.00%,35.71429,17.54,12.87,503
Vodafone_10UserGroup:https://www.vodafone.com.au/crowd/config/dcp1851mbb.json,1,28,28,28,0,0.00%,35.71429,17.54,12.77,503
Vodafone_10UserGroup:https://www.vodafone.com.au/crowd/config/dcp1851tablet.json,1,34,34,34,0,0.00%,29.41176,14.45,10.6,503
Vodafone_10UserGroup:https://www.vodafone.com.au/crowd/config/dcp1851nbn.json,1,26,26,26,0,0.00%,38.46154,18.89,13.75,503
Vodafone_10UserGroup:BundleNews,1,1072,1072,1072,0,0.00%,0.00297,0.97,0.03,334123
Vodafone_10UserGroup:https://www.vodafone.com.au/support,1,1363,1363,1363,0,0.00%,0.73368,992.08,3.63,1384654
Vodafone_10UserGroup:SupportServices,1,1363,1363,1363,0,0.00%,0.02911,39.37,0.14,1384654
TOTAL,610,1485,26,34238,4337.37,0.33%,0.69424,341.2,2.75,503266.2
